case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
lifepo4-stability,sha256:4fcaf69ffcf85bf0d3a5aa92deb8a3c6b73b0ff73ac41e64e4298d1be147a60d,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,"[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/main/mc3d-pbe-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:81cac107f2a02f58cbd9980c8621d1c326a60f774688f56a0e3ad99ad9ee2603,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,"[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1""]",succeeded,records_returned,6,6,6,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1"",6]]",True,True,complete,6,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:b5d23847fd91cc0c8ea6f93c45223ee71588acc19a45945862300a5a513ca57d,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,"[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2""]",succeeded,records_returned,4,4,4,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2"",4]]",True,True,complete,4,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v2/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:7f44dfbd77ff0cef34c714feb4210337bd64697c6bc4bcae0f7252550d2827fe,optimade:optimade.materialscloud.org/main/pyrene-mofs,"[""optimade:optimade.materialscloud.org/main/pyrene-mofs""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/pyrene-mofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:9f433674cd82f6911e5994290e75da1ca84e8cb9d2b192c773660fc4523ebe36,optimade:optimade.materialscloud.org/main/stoceriaitf,"[""optimade:optimade.materialscloud.org/main/stoceriaitf""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/stoceriaitf/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:2ddda9ad30c7be9b6b4525d8215cf7b14b7ebb15389794cfeff3ed2b25349f02,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,"[""optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/tin-antimony-sulfoiodide/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:531fc9a3523b0dac7f854021629e1c81a379b436972078c2b4fe790d3b243440,optimade:optimade.odbx.science,"[""optimade:optimade.odbx.science""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:cd73876a15f380382bbb385f2aba0ee9a48646bbf0ba3c732b0ca74a6442ef4f,optimade:optimade.openmaterialsdb.se,"[""optimade:optimade.openmaterialsdb.se""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade.openmaterialsdb.se"",3]]",True,True,complete,3,1,http://optimade.openmaterialsdb.se/v1/structures,optimade_links_next_absent_for_all_selected_providers,
lifepo4-stability,sha256:4990f62cc4118c15f6d99b604415ddbe2f81d8c258abb6353cdb80f4a29e89d2,oqmd,"[""oqmd""]",succeeded,records_returned,4,4,4,"[[""oqmd"",4]]",True,True,complete,4,1,0,oqmd_next_link_absent,
lifepo4-stability,sha256:6e7fb27999d9c2e760bda687150c76792c42cfbdc8bdc29995b1d9d614f14a79,tcod,"[""tcod""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,,rest_count_matches_json_rows,
