case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
lifepo4-stability,optimade:optimade.materialscloud.org/archive/m0-zg,[],ready,succeeded,complete,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/archive/m0-zg"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/archive/m0-zg/v1/structures,optimade_links_next_absent_for_all_selected_providers,,3825,0.827348,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/archive/zt-z4,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/archive/zt-z4/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.240821,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/2dtopo,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/2dtopo/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.618949,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/autowannier,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/autowannier/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.541664,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/curated-cofs,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/curated-cofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.423873,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/mc2d,[],ready,succeeded,complete,records_returned,1,1,1,"[[""optimade:optimade.materialscloud.org/main/mc2d"",1]]",True,True,complete,1,1,https://optimade.materialscloud.org/main/mc2d/v1/structures,optimade_links_next_absent_for_all_selected_providers,,2324,1.206937,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,[],ready,succeeded,complete,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/main/mc3d-pbe-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,,13924,1.053515,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,[],ready,succeeded,complete,records_returned,6,6,6,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1"",6]]",True,True,complete,6,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,,28150,1.295355,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,[],ready,succeeded,complete,records_returned,4,4,4,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2"",4]]",True,True,complete,4,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v2/v1/structures,optimade_links_next_absent_for_all_selected_providers,,18766,0.352613,10000,10000,300.0,1000000000,0,[],,
lifepo4-stability,optimade:optimade.materialscloud.org/main/pyrene-mofs,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/pyrene-mofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.324502,10000,10000,300.0,1000000000,0,[],,
